Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor,Subsector
Infra.Market,Real Estate,Series B,20000000.0,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,2016,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",
Info Edge Venture,Venture capitalist,,50000000.0,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,1995,Sanjeev Bikhchandani,Lightbox,
Clovia,E-Commerce,Pre-series C,4000000.0,Noida,Clovia is the online lingerie retailer,2020,2013,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",
Codingal,EdTech,Seed,560000.0,Bangalore,Coding education platform for K-12 students,2020,2020,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",
CRED,Finance company,Series C,80000000.0,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,2018,Kunal Shah,"General Catalyst, Ribbit Capital",
Vistaar Finance,Finance company,,30000000.0,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,2010,"Brahmanad, Ramakrishna Nishtala",FMO,
Let's Dive,SaaS platform,,1700000.0,Bangalore,A platform for remote employee engagement and building team culture,2020,2020,"Nitesh Agrawal, Om Prakash",Surge,
Habitat,EdTech,Seed,600000.0,,"Habitat, a social learning edtech platform for civil service aspirants",2020,2016,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",
SAWO Labs,SaaS platform,Seed,600000.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,2020,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",
Signzy,AI platform,,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",
Kyt,EdTech,,2500000.0,Bangalore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,2020,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,
Raskik,Fusion beverages,Pre-series A,1000000.0,,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,2019,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",
GetWork,HR Tech,Pre-seed,40000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,2019,Rahul Veerwal,India Accelerator,
Mobile Premier League (MPL),Gaming,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",
Pravasirojgar,Job portal,,33000000.0,,Initiative for blue-collar job workers,2020,2020,Sonu Sood,GoodWorker.,
NewsReach,Media,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,2018,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",
Cashfree,FinTech,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,2015,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",
Credgenics,FinTech,Pre-series A,3000000.0,Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",
GeoIQ,AI,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,2018,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",
Country Delight,Dairy startup,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",
Quintype,Content management,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,2014,Chirdeep Shetty,IIFL AMC,
CARS24,Retail,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020,2015,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",
Cityflo,Transportation,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,2015,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",
AlgoBulls,Trading platform,,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,2019,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,
Credgenics,FinTech,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",
Ensuredit,FinTech,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,2019,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,
Shipsy,AI Company,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,2015,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",
ERPNext,Tech,,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,2008,Rushabh Mehta,Rainmatter,
Yellow Classes,EdTech,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,2020,2020,"Arpit Mittal, Anshul Gupta",India Quotient,
Plum,HealthTech,,4100000.0,Bangalore,High quality health insurance and health benefits,2020,2019,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",
STAGE,Entertainment,,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,2019,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,
Kaagaz Scanner,Scanning app,,575000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,2020,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,
NIRA,FinTech,,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,2017,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",
Byju's,EdTech,,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,2011,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",
DaMENSCH,E-Commerce,,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,2018,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",
Country Delight,Food and Beverages,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",
SignalX,AI,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,2018,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",
Lancify,EdTech,,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2020,2018,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",
Krimanshi,Biotechnology company,Seed,600000.0,Jaipur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",
Instoried,AI,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,2018,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",
PlayerzPot,Gaming startup,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,2015,"Yogesh, Mitesh Gangar",,
Turtlemint,HealthTech,,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,2015,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",
Arata,E-Commerce,Pre-series A,1000000.0,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,2017,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,
MPL,Gaming startup,,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",
True Balance,FinTech,,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,2014,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",
Prescribe,HealthTech,,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,2019,Nived Narayanan,Titan Capital,
Nepra,CleanTech,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,2006,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",
inFeedo,Tech,,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,2013,Tanmaya Jain,"Peyush Bansal, Ritesh Malik",
MindTickle,SaaS platform,Debt Financing,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,2011,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",
Krimanshi,Biotechnology company,Seed,600000.0,Jaipur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",
Slice,FinTech,Debt Financing,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,2016,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",
Rapawalk,E-Commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,2017,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",
Stride Ventures,Venture capitalist,,80000000.0,Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,2019,Ishpreet Gandhi,Small Industries Development Bank of India,
BlackSoil,FinTech,,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,2016,Ankur Bansal,,
Biocon,HealthTech,,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,1978,Kiran Mazumdar-Shaw,Goldman Sachs,
Clientjoy,Tech,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2020,2013,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",
Xpressbees,E-Commerce,,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,2015,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",
Wellness Forever,HealthTech,,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,2008,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",
MoooFarm,AgriTech,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,2019,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",
BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,2020,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",
Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,2020,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",
Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,2013,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",
Kirana King,Retail,Pre-series A,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,2014,Anup Kumar,Rajasthan Venture Capital Fund,
Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,,"Punweet Singh, Shuchir Suri",,
FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",
Reliance Retail,E-Commerce,,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,2006,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",
Ather Energy,Automobiles,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,2013,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,
Routematic,Tech,,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,2007,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",
LivFin,FinTech,,4700000.0,Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,2017,Rakesh Malhotra,"DEG, KFW DEG",
Eggoz,Food & Bevarages,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,2016,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",
CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,2018,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,
Stones2milestones,EdTech,Bridge,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,2008,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",
Udacity,EdTech,Debt Financing,75000000.0,Outside India,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,2011,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",
AjnaLens,AR/VR startup,Bridge,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,2014,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",
Gully Network,E-Commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,2019,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",
TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,2018,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",
Charcoal Eats,QSR startup,,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,2015,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,
Svami,Food & Bevarages,,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,2016,Sahil Jatana,"Niren Shah, Rukam Capital Trust",
Dhurnia,EdTech,,100000.0,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,2018,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",
Leena AI,AI,,8000000.0,Outside India,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,2015,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",
Bizlog,Logistics,,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,2016,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,
Tamasha.live,Gaming,,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,2020,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",
Fedo,AI,,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,2017,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,
FabHotels,Hospitality,,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,2015,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",
Freshokartz,AgriTech,Pre-series A,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,2016,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",
FlexiLoans,FinTech,Debt Financing,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,2016,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,
FreshtoHome,E-Commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015,Shan Kadavil,"Ascent Capital, Iron Pillar",
Credable,FinTech,,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,2017,Nirav Choksi,Oaks Asset Management,
Railofy,Transportation,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,2019,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",
Finova Capital,FinTech,,55000000.0,Jaipur,Finova Capital is a non-banking financial company.,2020,2016,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",
Teachmint,EdTech,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,2020,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,
Peel-Works,E-Commerce,,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,2010,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",
Janani,Fertility tech,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,2020,Nilay Mehrotra,9Unicorns,
Credgenics,FinTech,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",
Jumbotail,E-Commerce,Series B2,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,2015,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),
Winzo,Gaming startup,,2000000.0,Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,2018,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",
mCaffeine,Consumer Goods,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,2015,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",
Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,2018,Rohan Nayak,"Times Group, Lightspeed",
FreshtoHome,E-Commerce,,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015,Shan Kadavil,"Ascent Capital, Iron Pillar",
Jumbotail,Retail,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,2015,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",
Genius Teacher,EdTech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",
Krimanshi Feeds,Nutrition sector,,500000.0,Jaipur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",
Origo,AgriTech,Debt Financing,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,2010,"Sunoor Kaul,",Northern Arc Capital,
GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,2019,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",
Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,2015,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,
Biddano,HealthTech,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,2016,Talha Shaikh,Windrose Capital,
InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,2017,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",
Arzooo,Retail Tech,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,2016,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",
Hubilo,Tech,Seed,4500000.0,Outside India,World’s smartest virtual event platform that brings Experience & Intelligence together,2020,2020,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",
BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,2020,Atul Monga,Picus Capital,
Ketos,AI,,18000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,2015,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",
SUGAR cosmetics,Consumer Goods,Debt Financing,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,2012,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",
Signzy,FinTech,,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners",
Tekion,AI,Series C,150000000.0,"San Ramon, California",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,2016,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",
Brighteye Ventures,EdTech,,5400000.0,"Paris, Ile-de-France, France",Education technology venture capital firm.,2020,2017,David guerin,Tandem,
EzeRx,Medtech,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020,2018,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",
VitalTech,HeathTech,Seed,3000000.0,"Plano, Texas, United States","VitalTech is a develop technologies that empower patients to better care for their safety,",2020,2018,Anjan Panneer Selvam,Tech Mahindra,
Genius Teacher,EdTech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016,"Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",
Ultraviolette Automotive,Automobiles,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,2014,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,
Rare Planet,Retail startup,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,
GoodGamer,Gaming,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,2020,Charles Creighton,,
InnAccel,Medtech,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,2012,Siraj Dhanani,Mount Judi Ventures,
Tiliter,Retail,,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020,2017,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",
Slintel,Sles and marketing,,4200000.0,Outside India,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,2016,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",
SoOLEGAL,LegalTech,,4000000.0,Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,2015,Manish Kaul,,
HobSpace,EdTech,Seed,200000.0,Mumbai,India's Activity Hub for Kids,2020,2019,"Priya Goel Sheth, Harsh Jain",Artha Venture,
Supplynote,Tech,Seed,500000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,2015,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",
ShopUp,E-Commerce,Series A,22000000.0,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,2017,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",
Zomato,FoodTech,,52000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,2008,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",
Dukaan,Tech,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020,2020,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",
CredR,Bike marketplace,,2000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,2014,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",
Satyukt,Agri tech,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,2018,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",
TREAD,Fitness startup,Pre-seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,2020,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",
Anveshan,FoodTech,Pre-seed,100000.0,Bangalore,Provide quality and healthy food products,2020,2019,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,
TeaMonk,Food & Bevarages,Pre-series A,900000.0,Bangalore,India's Finest Specialty Tea company.,2020,2016,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",
Fleetx,Tech,Pre-series B,3000000.0,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020,2017,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",
